,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
2019-03-01,3,2019-03-01,9.7,15.033333333333333,71.41666666666667,919.875,173.33333333333334,1.366666666666667,0.0,50.333333333333336,50.333333333333336
2019-03-02,3,2019-03-02,8.281818181818181,20.454545454545457,94.45454545454545,918.4909090909089,75.54545454545455,2.672727272727273,0.0,25.545454545454547,25.545454545454547
2019-03-03,3,2019-03-03,11.227272727272728,16.663636363636364,76.18181818181819,917.6909090909091,259.0,1.1090909090909091,15.727272727272727,101.0,98.0
2019-03-04,3,2019-03-04,11.766666666666666,13.899999999999999,71.33333333333333,914.6833333333334,169.0,0.65,426.5833333333333,391.4166666666667,121.33333333333333
2019-03-05,3,2019-03-05,12.924999999999999,13.241666666666667,68.5,914.775,179.16666666666666,0.8749999999999999,658.0833333333334,464.5833333333333,89.58333333333333
2019-03-06,3,2019-03-06,13.80769230769231,10.676923076923076,59.38461538461539,915.7153846153847,225.69230769230768,1.330769230769231,633.6153846153846,439.6923076923077,77.0
2019-03-07,3,2019-03-07,11.841666666666663,14.050000000000002,73.25,916.8166666666667,74.33333333333333,1.1416666666666664,302.0833333333333,313.0,127.83333333333333
2019-03-08,3,2019-03-08,13.541666666666664,11.875,57.416666666666664,919.0833333333335,182.83333333333334,1.3999999999999997,2.0833333333333335,187.25,186.58333333333334
2019-03-09,3,2019-03-09,14.576923076923077,8.938461538461539,54.23076923076923,919.1538461538463,219.46153846153845,1.6076923076923078,571.2307692307693,442.15384615384613,99.15384615384616
2019-03-10,3,2019-03-10,15.399999999999999,9.525,52.166666666666664,917.4250000000001,105.83333333333333,1.4166666666666667,403.75,379.25,127.33333333333333
2019-03-11,3,2019-03-11,10.208333333333334,19.458333333333336,93.33333333333333,917.3833333333333,116.75,2.4583333333333335,0.0,18.666666666666668,18.666666666666668
2019-03-12,3,2019-03-12,13.44615384615385,12.953846153846152,65.76923076923077,922.2769230769229,203.3846153846154,1.4230769230769231,461.2307692307692,426.15384615384613,135.53846153846155
2019-03-13,3,2019-03-13,13.692307692307692,15.330769230769231,64.3076923076923,919.0384615384615,101.61538461538461,1.9,16.846153846153847,142.30769230769232,132.84615384615384
2019-03-14,3,2019-03-14,12.253846153846155,16.63076923076923,77.61538461538461,921.9076923076924,56.76923076923077,1.3615384615384616,0.0,71.53846153846153,71.53846153846153
2019-03-15,3,2019-03-15,14.46923076923077,12.83076923076923,63.92307692307692,923.2076923076922,199.92307692307693,0.9846153846153847,510.9230769230769,447.61538461538464,125.92307692307692
2019-03-16,3,2019-03-16,16.758333333333333,11.591666666666667,57.416666666666664,921.0166666666668,203.08333333333334,1.508333333333333,382.0833333333333,431.0833333333333,167.5
2019-03-17,3,2019-03-17,18.03846153846154,13.453846153846154,57.0,919.1615384615385,195.69230769230768,0.8846153846153848,559.6153846153846,459.3076923076923,108.53846153846153
